
File name,Above stego threshold?,Secret message size in bytes (ignore for clean files),Primary Sets,Chi Square,Sample Pairs,RS analysis,Fusion (mean)
clean_building.png,false,1202,0.021770064672723726,0.0030675464241879105,0.030835809052847402,0.034682004925908776,0.022588856268916956
clean_lenna.png,false,8163,0.07653501225982895,0.005735762499739895,0.11715557330099385,0.007296295017030796,0.051680660769398375
clean_nature.png,false,3496,0.05276323434979216,0.0065150038519820675,0.016635944425370773,0.02070717239459349,0.024155338755434626
steg_hash2_building.png,true,21167,0.2785112449922236,0.005616305652139647,0.27286009060442634,0.27516111545093747,0.20803718917493177
steg_hash2_lenna.png,false,24343,NaN,0.05645948217824139,0.15178594908668808,0.2461421876122231,0.1514625396257175
steg_hash2_nature.png,false,26841,0.22906448762052278,0.016915314566842272,0.2314962151294825,0.2388028164702627,0.17906970844677755
steg_hash3_building.png,false,10236,0.14735026579519117,0.003907648148191171,0.15087943382279198,0.15447776819638132,0.11415377899063892
steg_hash3_lenna.png,false,9579,0.07518600029547691,0.020551157644009697,0.015910400580861944,0.1271050143060737,0.059688143206605565
steg_hash3_nature.png,false,11176,0.0806823301802017,0.009822648504736454,0.10003105426497745,0.10985946505020325,0.07509887450002972
steg_hash4_building.png,false,5420,0.08264935959690867,0.0037917033821192317,0.0929997270080767,0.09618615968013633,0.06890673741681022
steg_hash4_lenna.png,false,5235,0.013442645461532574,0.006780007508766928,0.041161853760214445,0.06927571579262107,0.03266505563078376
steg_hash4_nature.png,false,4357,0.011981319758965617,0.007185469043242598,0.04800901672037127,0.05052961749792721,0.029426355755126674
steg_lsb_building.png,true,73688,NaN,0.9999999998309331,0.5574031465443278,0.5540766138633388,0.7038265867461999
steg_lsb_lenna.png,true,110476,NaN,0.9993274055377511,0.5322321149103056,0.5446866302645674,0.6920820502375413
steg_lsb_nature.png,true,108433,NaN,0.9999998924806974,0.5747698391215202,0.561522876027893,0.7120975358767035
