File name,Above stego threshold?,Secret message size in bytes (ignore for clean files),Actual Bytes Embedded,Primary Sets,Chi Square,Sample Pairs,RS analysis,Fusion (mean)
clean_building.png,false,1202,0,0.021770064672724,0.003067546424188,0.030835809052847,0.034682004925909,0.022588856268917
clean_lenna.png,false,8163,0,0.076535012259829,0.00573576249974,0.117155573300994,0.007296295017031,0.051680660769398
clean_nature.png,false,3496,0,0.052763234349792,0.006515003851982,0.016635944425371,0.020707172394594,0.024155338755435
steg_hash2_building.png,true,21052,24524,0.274767970483257,0.004663217619014,0.273574602574857,0.275982534146515,0.207247081205911
steg_hash2_lenna.png,false,29340,24524,NaN,0.150913909151012,0.150560611356961,0.246172714811713,0.182549078439895
steg_hash2_nature.png,false,27018,24524,0.231111030771452,0.020314264084898,0.234282733197311,0.235320979159751,0.180257251803353
steg_hash3_building.png,false,10356,12318,0.150608296549505,0.003860702358136,0.152155739831194,0.155705665557775,0.115582601074153
steg_hash3_lenna.png,false,9999,12318,0.066662263656484,0.031180887005768,0.020642395179947,0.130731653550074,0.062304299848068
steg_hash3_nature.png,false,11760,12318,0.082185929913672,0.010023823519732,0.112088519934561,0.111912774162611,0.079052761882644
steg_hash4_building.png,false,5411,6159,0.083099609097469,0.003653579672327,0.092620633849384,0.095996851447092,0.068842668516568
steg_hash4_lenna.png,false,5611,6159,0.015267427950105,0.014558845839277,0.044263720714194,0.065954750932418,0.035011186358998
steg_hash4_nature.png,false,4215,6159,0.00990080505512,0.007472041116173,0.047745200552296,0.048739521526436,0.028464392062506
steg_lsb_building.png,true,73506,98304,NaN,0.999999998437516,0.555067366951167,0.55239410772093,0.702487157703204
steg_lsb_lenna.png,true,110875,98304,NaN,0.995481586011985,0.543047181503528,0.544952506820764,0.694493758112092
steg_lsb_nature.png,true,108702,98304,NaN,0.999999996243036,0.577361832175424,0.564427870111856,0.713929899510106
steg_openpuff_building.png,true,20175,8112,0.295232565457408,0.006302345247326,0.281877347852623,0.282385263653566,0.216449380552731
steg_openpuff_lenna.png,false,34656,9040,NaN,0.104396709611795,0.166444725468816,0.260981158201906,0.177274197760839
steg_openpuff_nature.png,false,17022,7360,0.047261202750838,0.006421189023111,0.181100270096729,0.19555151433307,0.107583544050937
